year,quarter,date,GDP,GDP_growth_qt,GDP_growth_yr,RDI,RDI_growth,inflation,unemployment,stock_open,stock_close,stock_volume
1927,4,NA,NA,NA,NA,NA,NA,NA,NA,17.66,17.66,0
1928,1,NA,NA,NA,NA,NA,NA,NA,NA,17.53,18.036667,0
1928,2,NA,NA,NA,NA,NA,NA,NA,NA,19.586667,19.62999967,0
1928,3,NA,NA,NA,NA,NA,NA,NA,NA,19.78999967,20.48,0
1928,4,NA,NA,NA,NA,NA,NA,NA,NA,22.40000033,23.436667,0
1929,1,NA,NA,NA,NA,NA,NA,NA,NA,25.493333,25.62000033,0
1929,2,NA,NA,NA,NA,NA,NA,NA,NA,25.37999967,26.06000033,0
1929,3,NA,NA,NA,NA,NA,NA,NA,NA,29.55666667,30.24999933,0
1929,4,NA,NA,NA,NA,NA,NA,NA,NA,24.60333333,22.17333367,0
1930,1,NA,NA,NA,NA,NA,NA,NA,NA,22.426667,23.40666733,0
1930,2,NA,NA,NA,NA,NA,NA,NA,NA,24.69,23.283333,0
1930,3,NA,NA,NA,NA,NA,NA,NA,NA,20.91,20.39,0
1930,4,NA,NA,NA,NA,NA,NA,NA,NA,17.78333267,16.22,0
1931,1,NA,NA,NA,NA,NA,NA,NA,NA,16.51,16.970001,0
1931,2,NA,NA,NA,NA,NA,NA,NA,NA,14.52333333,14.31333333,0
1931,3,NA,NA,NA,NA,NA,NA,NA,NA,14.30666667,12.43333333,0
1931,4,NA,NA,NA,NA,NA,NA,NA,NA,9.803333333,9.35,0
1932,1,NA,NA,NA,NA,NA,NA,NA,NA,8.046666667,7.846666667,0
1932,2,NA,NA,NA,NA,NA,NA,NA,NA,5.773333333,4.91,0
1932,3,NA,NA,NA,NA,NA,NA,NA,NA,6.393333333,7.5,0
1932,4,NA,NA,NA,NA,NA,NA,NA,NA,7.183333333,6.81,0
1933,1,NA,NA,NA,NA,NA,NA,NA,NA,6.423333333,6.15,0
1933,2,NA,NA,NA,NA,NA,NA,NA,NA,8.013333333,9.46,0
1933,3,NA,NA,NA,NA,NA,NA,NA,NA,11.03333333,10.25333333,0
1933,4,NA,NA,NA,NA,NA,NA,NA,NA,9.55,9.603333333,0
1934,1,NA,NA,NA,NA,NA,NA,NA,NA,10.76333333,10.85,0
1934,2,NA,NA,NA,NA,NA,NA,NA,NA,10.2,9.96,0
1934,3,NA,NA,NA,NA,NA,NA,NA,NA,9.233333333,8.97,0
1934,4,NA,NA,NA,NA,NA,NA,NA,NA,9.003333333,9.283333333,0
1935,1,NA,NA,NA,NA,NA,NA,NA,NA,9.116666667,8.763333333,0
1935,2,NA,NA,NA,NA,NA,NA,NA,NA,9.146666667,9.7,0
1935,3,NA,NA,NA,NA,NA,NA,NA,NA,10.84333333,11.30333333,0
1935,4,NA,NA,NA,NA,NA,NA,NA,NA,12.28,12.94333333,0
1936,1,NA,NA,NA,NA,NA,NA,NA,NA,14.20333333,14.61,0
1936,2,NA,NA,NA,NA,NA,NA,NA,NA,14.48333333,14.33666667,0
1936,3,NA,NA,NA,NA,NA,NA,NA,NA,15.58666667,15.95,0
1936,4,NA,NA,NA,NA,NA,NA,NA,NA,16.78333333,17.23000033,0
1937,1,NA,NA,NA,NA,NA,NA,NA,NA,17.633333,17.91666633,0
1937,2,NA,NA,NA,NA,NA,NA,NA,NA,16.71333267,16.03,0
1937,3,NA,NA,NA,NA,NA,NA,NA,NA,16.05,15.52333367,0
1937,4,NA,NA,NA,NA,NA,NA,NA,NA,12.25666667,11.33666667,0
1938,1,NA,NA,NA,NA,NA,NA,NA,NA,10.95666667,10.17666667,0
1938,2,NA,NA,NA,NA,NA,NA,NA,NA,9.356666667,10.20333333,0
1938,3,NA,NA,NA,NA,NA,NA,NA,NA,12.02666667,12.21,0
1938,4,NA,NA,NA,NA,NA,NA,NA,NA,12.74333333,13.01333333,0
1939,1,NA,NA,NA,NA,NA,NA,NA,NA,12.63333333,11.99333333,0
1939,2,NA,NA,NA,NA,NA,NA,NA,NA,11.18,11.13,0
1939,3,NA,NA,NA,NA,NA,NA,NA,NA,11.44666667,12.00333333,0
1939,4,NA,NA,NA,NA,NA,NA,NA,NA,12.66333333,12.49666667,0
1940,1,NA,NA,NA,NA,NA,NA,NA,NA,12.24666667,12.12,0
1940,2,NA,NA,NA,NA,NA,NA,NA,NA,11.11666667,10.48,0
1940,3,NA,NA,NA,NA,NA,NA,NA,NA,10.23,10.48333333,0
1940,4,NA,NA,NA,NA,NA,NA,NA,NA,10.83666667,10.74333333,0
1941,1,NA,NA,NA,NA,NA,NA,NA,NA,10.07,9.983333333,0
1941,2,NA,NA,NA,NA,NA,NA,NA,NA,9.543333333,9.513333333,0
1941,3,NA,NA,NA,NA,NA,NA,NA,NA,10.16666667,10.29,0
1941,4,NA,NA,NA,NA,NA,NA,NA,NA,9.61,9.103333333,0
1942,1,NA,NA,NA,NA,NA,NA,NA,NA,8.733333333,8.483333333,0
1942,2,NA,NA,NA,NA,NA,NA,NA,NA,7.983333333,8.036666667,0
1942,3,NA,NA,NA,NA,NA,NA,NA,NA,8.473333333,8.676666667,0
1942,4,NA,NA,NA,NA,NA,NA,NA,NA,9.226666667,9.473333333,0
1943,1,NA,NA,NA,NA,NA,NA,NA,NA,10.45333333,10.99666667,0
1943,2,NA,NA,NA,NA,NA,NA,NA,NA,11.86333333,11.99666667,0
1943,3,NA,NA,NA,NA,NA,NA,NA,NA,11.89,11.91,0
