year,job_approval
1948,37.333333333333336
1952,27.88888888888889
1956,71.8
1960,60.8
1964,74.75
1968,41.81818181818182
1972,54.5
1976,47.142857142857146
1980,41.266666666666666
1984,53.09090909090909
1988,51
1992,38.08108108108108
1996,53.45
2000,59.28
2004,50.25
2008,30.041666666666668
2012,46.75945017182131
2016,50.689189189189186
2020,45.083333333333336
